iter	Passed	Remaining
706	1409	584
707	1412	582
708	1414	580
709	1415	578
710	1417	576
711	1419	574
712	1421	572
713	1423	570
714	1425	568
715	1427	566
716	1428	563
717	1430	561
718	1432	559
719	1434	557
720	1435	555
721	1437	553
722	1439	551
723	1441	549
724	1443	547
725	1445	545
726	1447	543
727	1449	541
728	1451	539
729	1453	537
730	1454	535
731	1457	533
732	1458	531
733	1460	529
734	1462	527
735	1464	525
736	1466	523
737	1468	521
738	1469	519
739	1471	517
740	1473	515
741	1475	512
742	1476	510
743	1479	508
744	1481	507
745	1483	505
746	1485	503
747	1487	501
748	1489	498
749	1490	496
750	1493	495
751	1494	492
752	1497	491
753	1499	489
754	1500	487
755	1502	485
756	1505	483
757	1507	481
758	1509	479
759	1511	477
760	1512	475
761	1514	473
762	1517	471
763	1519	469
764	1521	467
765	1523	465
766	1525	463
767	1527	461
768	1529	459
769	1531	457
770	1533	455
771	1536	453
772	1538	451
773	1539	449
774	1542	447
775	1544	445
776	1545	443
777	1547	441
778	1550	439
779	1551	437
780	1553	435
781	1555	433
782	1557	431
783	1559	429
784	1560	427
785	1562	425
786	1564	423
787	1567	421
788	1568	419
789	1570	417
790	1572	415
791	1574	413
792	1576	411
793	1577	409
794	1579	407
795	1581	405
796	1583	403
797	1584	401
798	1586	399
799	1588	397
800	1590	395
801	1591	392
802	1593	390
803	1595	388
804	1596	386
805	1598	384
806	1600	382
807	1601	380
808	1603	378
809	1605	376
810	1607	374
811	1609	372
812	1611	370
813	1613	368
814	1615	366
815	1616	364
816	1618	362
817	1620	360
818	1622	358
819	1624	356
820	1626	354
821	1628	352
822	1630	350
823	1632	348
824	1634	346
825	1636	344
826	1638	342
827	1639	340
828	1641	338
829	1643	336
830	1645	334
831	1647	332
832	1649	330
833	1651	328
834	1653	326
835	1655	324
836	1656	322
837	1658	320
838	1660	318
839	1662	316
840	1664	314
841	1665	312
842	1667	310
843	1669	308
844	1671	306
845	1672	304
846	1674	302
847	1675	300
848	1677	298
849	1679	296
850	1681	294
851	1683	292
852	1685	290
853	1687	288
854	1688	286
855	1690	284
856	1692	282
857	1694	280
858	1696	278
859	1697	276
860	1699	274
861	1701	272
862	1703	270
863	1705	268
864	1707	266
865	1708	264
866	1710	262
867	1712	260
868	1714	258
869	1716	256
870	1717	254
871	1719	252
872	1720	250
873	1722	248
874	1724	246
875	1726	244
876	1728	242
877	1730	240
878	1732	238
879	1733	236
880	1735	234
881	1737	232
882	1739	230
883	1741	228
884	1743	226
885	1745	224
886	1747	222
887	1748	220
888	1750	218
889	1752	216
890	1753	214
891	1755	212
892	1756	210
893	1758	208
894	1761	206
895	1762	204
896	1764	202
897	1766	200
898	1767	198
899	1769	196
900	1771	194
901	1772	192
902	1774	190
903	1775	188
904	1777	186
905	1779	184
906	1781	182
907	1782	180
908	1784	178
909	1786	176
910	1787	174
911	1789	172
912	1791	170
913	1793	168
914	1795	166
915	1796	164
916	1798	162
917	1799	160
918	1801	158
919	1803	156
920	1805	154
921	1807	152
922	1809	150
923	1811	149
924	1813	147
925	1815	145
926	1817	143
927	1818	141
928	1820	139
929	1823	137
930	1825	135
931	1827	133
932	1830	131
933	1832	129
934	1834	127
935	1836	125
936	1838	123
937	1840	121
938	1842	119
939	1844	117
940	1846	115
941	1848	113
942	1849	111
943	1851	109
944	1853	107
945	1855	105
946	1857	103
947	1859	102
948	1862	100
949	1864	98
950	1865	96
951	1867	94
952	1869	92
953	1871	90
954	1873	88
955	1875	86
956	1876	84
957	1878	82
958	1880	80
959	1882	78
960	1883	76
961	1885	74
962	1887	72
963	1889	70
964	1891	68
965	1892	66
966	1894	64
967	1896	62
968	1898	60
969	1899	58
970	1901	56
971	1903	54
972	1904	52
973	1906	50
974	1908	48
975	1910	46
976	1912	45
977	1914	43
978	1916	41
979	1918	39
980	1920	37
981	1921	35
982	1923	33
983	1925	31
984	1927	29
985	1929	27
986	1931	25
987	1933	23
988	1934	21
989	1936	19
990	1938	17
991	1939	15
992	1941	13
993	1943	11
994	1944	9
995	1946	7
996	1948	5
997	1950	3
998	1951	1
999	1953	0
